1_month,3_month,6_month,0
2507.6859831809998,2591.180729866028,2735.298550873995,15.443145751953125
2507.7014848589897,2593.2810567319393,2734.6581660211086,
2507.335314154625,2593.0917255580425,2733.7426640093327,
2506.715999543667,2593.4146270155907,2732.947638630867,
,2593.8400954008102,2732.013474404812,
,2594.151558727026,2731.3282400369644,
,2593.9889416098595,2730.8912582695484,
,2594.4834902882576,2730.7093016803265,
,2594.161792844534,2730.4522447288036,
,2593.732938170433,2729.9061492085457,
,2592.950329184532,2729.8226960003376,
,2593.0318258702755,2729.5019768178463,
,,2730.0847947597504,
,,2731.4929641783237,
,,2732.2730898857117,
,,2733.628583699465,
,,2733.870665729046,
,,2733.5084080696106,
,,2733.093775808811,
,,2732.8818693757057,
,,2732.016258686781,
,,2731.2481731176376,
,,2730.010672658682,
,,2730.3422279655933,
